name,number,type,t2,t2Time,cpu,mem,memCpuTime
todos,1,add,6.005002999999988,1106.175555,1.1,6.130000000001019,2130.293196
todos,5,add,6.876309000000219,3173.200077,0.38,0.010000000000218279,4197.941280000001
todos,10,add,8.212399999999434,5274.224584,0.24,0.47999999999956344,6297.921296
todos,50,add,7.9650930000007065,7450.729074999999,0.10999999999999999,0,8473.755067
todos,100,add,7.634782999999516,9726.252602,1.2200000000000002,1.9700000000011642,10750.032861
todos,250,add,5.942387999999482,12220.23387,0.49,0.23999999999978172,13246.104331
todos,500,add,4.5297780000000785,15018.390253,0.61,0,16041.843325
todos,750,add,3.6148429999993823,17925.374311000003,0.87,0,18949.056915
todos,1000,add,3.8199449999992794,20838.301629,2.21,0.030000000000654836,21862.097281000002
todos,2500,add,3.3621540000021923,24702.14097,0.10999999999999999,9.109999999998763,25726.320054
todos,5000,add,3.272848000000522,29581.985137,0.37,4.469999999999345,30606.512582000003
todos,7500,add,3.4760520000054385,35210.206622,0.49,2.959999999999127,36234.481304
todos,10000,add,2.8599130000002333,41229.053424,0.36,3.930000000000291,42254.158604000004
todos,50000,add,2.604380000004312,66080.508269,0.25,0.5,67105.703031
categories,1,add,11.252388000008068,1100.4344350000028,0.13,0.029999999998835847,2124.4496979999967
categories,5,add,7.944206999993185,3184.6721470000048,0.24,0,4208.381355000005
categories,10,add,7.373695000002044,5275.983374999996,0.12,0,6300.506437999997
categories,50,add,6.152531999992789,7475.202275999996,0.25,0.25,8500.764330999998
categories,100,add,6.692787000007229,9737.028103999997,0.25,0,10760.560069
categories,250,add,4.840618000001996,12185.251233999996,0.37,0,13208.587541
categories,500,add,5.578917000006186,14906.573768000002,1.96,0.25,15928.871670000008
categories,750,add,3.6294640000123763,17723.610757000002,0.8500000000000001,0,18748.135708
categories,1000,add,3.290523999996367,20532.351754999996,0.25,0,21556.654461
categories,2500,add,2.780319999990752,24303.518733000004,0.37,0,25328.573944000003
categories,5000,add,2.987980999998399,28704.016329000005,0,0,29729.012248
categories,7500,add,3.315101999993203,34064.148667999994,0.12,14.7599999999984,35087.702128000004
categories,10000,add,3.0183839999954216,40009.303526,0.13,3.6900000000005093,41032.843226
categories,50000,add,2.5587280000036117,65584.691083,0.13,0,66608.93978500001
projects,1,add,5.819090000004508,1068.9609150000033,0.24,0.23999999999978172,2090.85377300001
projects,5,add,8.026624999998603,3163.8165359999985,0,0,4187.141495999997
projects,10,add,7.820800000015879,5255.197240000009,0.48,0.22000000000116415,6279.118717000005
projects,50,add,6.882359000010183,7430.253167999996,0.37,0,8451.077325999999
projects,100,add,5.748755999986315,9668.74745699999,0.97,0,10691.061761000019
projects,250,add,4.684512000007089,12095.846709000005,0.25,0.25,13119.159646999993
projects,500,add,4.0658389999880455,14767.101637000014,0.62,0,15790.93411100001
projects,750,add,3.3348950000072364,17538.520739,1.47,0.25,18562.614279
projects,1000,add,3.571765000000596,20306.72927100002,2.08,0,21331.153311000002
projects,2500,add,2.9136510000098497,23894.052184,0,5.899999999999636,24919.006319000007
projects,5000,add,3.093036000005668,28322.476723,0,6.399999999999636,29347.25624300001
projects,7500,add,2.769877999991877,33674.23780999999,0.24,9.899999999999636,34699.42225900001
projects,10000,add,2.9921610000019427,39618.18859100001,0.24,4.180000000000291,40643.402784000005
projects,50000,add,2.4945320000115316,65265.972759,0.61,0,66291.35038300001
todos,1,update,14.349577000015415,1106.9040920000116,0.12,0.5599999999994907,2128.1709379999957
todos,5,update,8.459493000002112,3188.71766200001,0.12,0.020000000000436557,4212.20293900001
todos,10,update,8.604664999991655,5285.0112910000025,0.13,0,6288.313877999986
